#,A,Z,Q[MeV],Egamma[MeV],Eelec[MeV],Eneutrino[MeV],tau[s]
191,116,45,9.1,0.2988420000000005,4.022378,4.778779999999999,0.9810326278044951
192,109,46,1.1128999999999998,0.0006852269597783999,0.36002747715799993,0.6667497849059999,70582.41218045165
193,111,46,2.2295999999999996,0.047081329770000006,0.8313573,1.27231893,2025.5438374081048
194,113,46,3.436,0.11367847300000002,1.3627523999999998,1.8624228,134.1706388026736
195,114,46,1.44,0.019069250000000038,0.52802175,0.892909,209.4793199370775
196,116,46,2.712,0.147027727,0.99524,1.4614,17.023801482489773
197,118,46,4.165,0.391104126,1.5559489999999998,2.0946599999999997,2.741120577689031
198,111,47,1.0368,0.0260961216672,0.35026909799999995,0.6581530100000001,928633.943919408
199,112,47,3.9910999999999994,0.6728687177999992,1.3954858490999997,1.9227454331000002,16256.28772073684
200,113,47,2.016,0.0685676260000001,0.7628469039999999,1.18458547,27890.18053046544
201,114,47,5.084,0.2570757399999999,2.11546079,2.7114634699999995,6.636397188089231
202,115,47,3.102,0.48267706680000005,1.076978,1.5379175,1731.2340490667561
203,116,47,6.17,1.7496285482,1.9513070799999999,0.0,331.81985940446157
204,117,47,4.236,1.100495,1.2948499999999998,1.840655,105.02819897671651
205,119,47,5.33,0.9055869999999997,1.915115,2.5092980000000003,3.029659585866824
206,120,47,8.306,0.7774889999999999,2.6519,3.2222,1.774514900293425
207,121,47,6.671,1.1990109000000002,2.4223659,3.0496232,1.1253021318933918
208,122,47,9.51,1.1234169000000003,3.8069699999999997,4.571978365,0.7631856766302617
209,115,48,1.4519000000000002,0.346274908664,0.3144719431562,0.5954541888479999,277655.3167893264
210,117,48,2.525,1.075004109396,0.43268701,0.7329510500000002,12932.31834652867
211,119,48,3.72,1.6413093395100002,0.8317526,1.2246221,232.85097959947876
212,121,48,4.761,1.6620260157900002,1.2016845,1.697807,19.476383052001008
213,123,48,6.015,1.8252773000000002,1.8266062999999997,2.3631163999999996,3.029659585866824
214,125,48,7.064,1.4675880000000001,2.4662529999999996,3.130159,0.9810326278044951
215,126,48,5.554,0.6194868582,1.8091400000000002,2.32475,0.7415452510169273
216,128,48,6.952,-0.4167200000000002,3.27392,4.0948,0.4039546114489098
217,130,48,8.789,1.7986168480000002,2.378299,2.94956,0.23371659662401204
218,115,49,0.49748899999999996,0.0,0.15320400003978002,0.28851200008160005,2.00774160886766e+22
219,116,49,3.27622,0.019588601642340005,1.36285265072,1.8899430311473002,20.342000076534383
220,117,49,1.455,0.691572084,0.2451737,0.50030052,3739.4655459841933
221,118,49,4.425,0.07782444,1.8793828500000005,1.285392765,7.213475204444817
222,119,49,2.366,0.71037428228,0.6130674,1.00494128,207.74808588801073
223,120,49,5.37,0.4584948000000004,3.2553624,1.6561427999999996,27.64203698343254
224,121,49,3.362,0.9240000000000002,0.984,1.454,33.32625544453506
225,122,49,6.37,0.6374570010999999,2.5317087000000003,3.1816441999999996,2.1640425613334453
226,123,49,4.386,1.1026926049999999,1.3588780999999999,1.8761324000000001,8.872574501467124
227,124,49,7.36,2.6547247000000005,2.0501783999999996,2.6550969000000006,4.501208527573567
228,125,49,5.481300000000001,0.737710400000001,2.0501544,2.6934352,3.4047602964979538
229,126,49,8.206,2.7547064699999995,2.4047402300000003,3.0465533000000002,2.2073234125601147
230,127,49,6.59,1.6230161036800002,2.0884960800000005,2.6958734800000004,1.5725375945689704
231,128,49,9.171,2.9713655999999995,2.7608084,3.4388259999999997,1.2118638343467294
232,129,49,7.756,1.137825550000001,2.9393039499999998,3.6788705,0.8814866699831566
233,130,49,10.225700000000002,2.6386400000000023,3.39941,4.18765,0.4183815618577994
234,123,50,1.4082000000000001,0.003351806498000154,0.525064685902,0.8797835076,16104631.618038593
235,125,50,2.3614,0.33130434499999994,0.8017103210000001,1.2283853340000002,1201614.9287762542
236,127,50,3.229,1.5770631800000003,0.62845652,1.0234803,10906.774509120563
237,129,50,4.039,1.0220907725600001,1.2454506200000002,1.75414672,193.03259647094336
238,130,50,2.153,0.89746513869,0.4095747,0.7404145000000001,322.0095331264166
239,131,50,4.717,0.0,0.0,0.0,80.79092228978196
240,132,50,3.089,1.2470007795,0.67516939,1.08586036,57.27499312329185
241,133,50,8.05,0.2569471220000006,3.51236021,4.2806926679999995,2.1063347596978863
242,134,50,7.585,0.105106806,2.8594033,3.4915770000000004,1.5148297929334118
243,135,50,9.058,0.584769112,2.9841007399999997,3.6169440799999992,0.7429879460578162
244,125,51,0.7667,0.41860921351024794,0.08662548448469999,0.20018575967799995,125589017.9718361
245,126,51,3.67,2.6753318,0.3538699,0.6407983,1539413.3164301596
246,127,51,1.582,0.67838019,0.30865559,0.5949642199999999,479898.0784013048
247,128,51,4.364,3.0551646,0.4604564,0.8483789999999999,47003.00443216243
248,129,51,2.375,1.5539168975888,0.2781841311,0.5334058279999999,22675.70357467637
249,130,51,5.067,3.2692631200000006,0.6585639999999999,1.0412020000000002,3419.1872469068435
250,131,51,3.2296,1.5310625999999998,0.6476964,1.0508410000000001,1993.5160075003694
251,133,51,4.014,2.04152627648,0.5103728700000001,0.81453899,202.55438374081047
252,134,51,8.515,0.111141451,3.7566719999999996,4.5652738,1.1253021318933916
253,135,51,8.038,0.67168569622,2.7607417,3.4104962,2.4222849736525696
254,127,52,0.703,0.0048304558368,0.2260460929846,0.47206907043800006,48561.11507632251
255,129,52,1.502,0.05754614950854001,0.52402197507,0.8983005322100002,6024.694490752311
256,131,52,2.2317,0.41597993579360004,0.6899732528,1.104276362,2164.042561333445
257,132,52,0.515,0.20501037743999997,0.0598,0.1741,399374.9203111118
258,133,52,2.92,1.1621777860000002,0.6801375540000001,1.0776846599999998,1082.0212806667225
259,134,52,1.51,0.8451254871999999,0.188598,0.408396,3618.27916254952
260,135,52,6.050399999999999,0.38439111726,2.4082511849999997,3.0724898499999997,27.411205776890306
261,136,52,5.12,1.8063319,1.3850847000000002,1.9285834,25.434713570872425
262,128,53,2.123,0.066072565579425,0.74627616672,1.16267883544,2163.176944308912
263,131,53,0.9708000000000001,0.37823935324599,0.18184950299999997,0.39641806,1000331.9633210785
264,132,53,3.575,2.2501791265,0.486309545,0.8385113285,11919.546427824616
265,133,53,1.786,0.6124945611377999,0.405047805,0.7361407000000001,108184.8157261816
266,134,53,4.082,2.425807731,0.626345979,1.02984629,4544.489378800235
267,135,53,2.634,1.5813186457124,0.336154469,0.628761723,34174.56012857777
268,136,53,6.857,0.0,1.951,2.571,120.321
269,137,53,6.027,0.003995551899999999,0.02279786,0.0,35.34602850177961
270,140,53,9.38,0.9776083000000018,3.7767456999999998,4.625646,1.2407177351645085
271,133,54,0.42739999999999995,0.00019853892991599997,0.1001639057,0.24549335360000002,654094.8484184018
272,135,54,1.169,0.246582304992,0.30471600699999996,0.5961402750000001,47470.43762541045
273,137,54,4.1624,0.1578983950999997,1.7031791278,2.3013224771000003,330.4925799668438
274,138,54,2.915,0.8770168200000001,0.79304242,1.24494076,1223.9824726901966
275,139,54,5.057,0.9217908700000006,1.76226278,2.37294635,57.246139222474056
276,140,54,4.063,1.1217644549999997,1.0884730999999999,1.5732998,19.6206525560899
277,141,54,6.28,0.9808912000000007,2.3229518,2.9761569999999997,2.495862420737906
278,137,55,1.1756300000000002,0.5630717513,0.18714476097,0.36273780496,1369452779.9260595
279,138,55,5.375,2.3642381100000005,1.2381762799999998,1.77258561,2813.255329733479
280,139,55,4.213,0.2882175083999998,1.6649768922000001,2.2598055994,802.4269817424412
281,140,55,6.218,1.6812522450000005,1.954364445,2.58238331,91.89967410462695
282,141,55,5.255,0.3738394029999994,2.098926667,2.7822339300000003,35.836544815681854
283,142,55,7.328,0.73690699,2.91612921,3.6749638,2.429498448857015
284,143,55,6.262,0.4106210031000001,2.385732,3.0471740000000005,2.5838668182321336
